artist_id	artist_name	genre	popularity
artist_000000	Artist 0	Classical	0.0950729430359827
artist_000001	Artist 1	Classical	0.00220556589007117
artist_000002	Artist 2	Country	0.23098130412581364
artist_000003	Artist 3	Country	0.29823702052850143
artist_000004	Artist 4	Jazz	0.47063315172000736
artist_000005	Artist 5	Classical	0.8078182148442177
artist_000006	Artist 6	Country	0.8000628017218836
artist_000007	Artist 7	Rock	0.4290317713761959
artist_000008	Artist 8	Rock	0.6987029139740047
artist_000009	Artist 9	Classical	0.4618772211677148
artist_000010	Artist 10	Classical	0.12674963767418487
artist_000011	Artist 11	Electronic	0.025049209467203952
artist_000012	Artist 12	Pop	0.9778382184376633
artist_000013	Artist 13	Electronic	0.7732007496132967
artist_000014	Artist 14	Country	0.08406472327172028
artist_000015	Artist 15	R&B	0.37089501502885996
artist_000016	Artist 16	Pop	0.021449883732049774
artist_000017	Artist 17	R&B	0.014941566165839026
artist_000018	Artist 18	Jazz	0.23237734826228437
artist_000019	Artist 19	Classical	0.34082399545344116
artist_000020	Artist 20	Electronic	0.06293025957986725
artist_000021	Artist 21	Jazz	0.0014650851475911482
artist_000022	Artist 22	R&B	0.008966755006797033
artist_000023	Artist 23	Rock	0.00806310366863905
artist_000024	Artist 24	R&B	0.36184406374208944
artist_000025	Artist 25	Rock	0.30292154157892665
artist_000026	Artist 26	Rock	0.3830971076988199
artist_000027	Artist 27	Country	0.0980232452263311
artist_000028	Artist 28	Electronic	0.15098712023848423
artist_000029	Artist 29	Classical	0.033393571590803785
artist_000030	Artist 30	Electronic	0.0027959062784174925
artist_000031	Artist 31	Classical	0.9002164657056405
artist_000032	Artist 32	Electronic	0.014198577374806544
artist_000033	Artist 33	R&B	0.5750077177643965
artist_000034	Artist 34	Classical	0.02302780002766088
artist_000035	Artist 35	Pop	0.9074930344646536
artist_000036	Artist 36	Rock	0.020437767780136645
artist_000037	Artist 37	Hip-Hop	0.7748655885228403
artist_000038	Artist 38	Rock	0.7345695110565659
artist_000039	Artist 39	Hip-Hop	0.4459281162092511
artist_000040	Artist 40	Hip-Hop	0.06582186984581957
artist_000041	Artist 41	Electronic	0.5645217176353441
artist_000042	Artist 42	Electronic	0.7684818697280101
artist_000043	Artist 43	Country	0.5422371207650181
artist_000044	Artist 44	Hip-Hop	0.014563048550034069
artist_000045	Artist 45	Rock	0.36053245356927244
artist_000046	Artist 46	R&B	0.26146032698866073
artist_000047	Artist 47	Hip-Hop	0.3884443063832127
artist_000048	Artist 48	Classical	0.009689853286650783
artist_000049	Artist 49	R&B	0.4356640253744904
artist_000050	Artist 50	Classical	0.8434536131266289
artist_000051	Artist 51	Hip-Hop	0.0023985698230550687
artist_000052	Artist 52	R&B	0.5734732825773615
artist_000053	Artist 53	Rock	0.1139861883929032
artist_000054	Artist 54	Classical	0.0020709600572648146
artist_000055	Artist 55	Pop	0.039596319035602144
artist_000056	Artist 56	Rock	0.0932229431376379
artist_000057	Artist 57	Jazz	0.46813595586687357
artist_000058	Artist 58	Country	0.11068025511110897
artist_000059	Artist 59	Classical	0.03917138499202441
artist_000060	Artist 60	Classical	0.06986056517869055
artist_000061	Artist 61	Country	0.2734714268731525
artist_000062	Artist 62	Classical	0.3419282318730625
artist_000063	Artist 63	Pop	0.04909146260494876
artist_000064	Artist 64	Electronic	0.018030767207842465
artist_000065	Artist 65	Electronic	0.6140288677010726
artist_000066	Artist 66	Pop	0.10831655374031444
artist_000067	Artist 67	Rock	0.011897590058323393
artist_000068	Artist 68	Country	0.5353567164491299
artist_000069	Artist 69	Rock	0.0659162310380887
artist_000070	Artist 70	Hip-Hop	0.6906182633546406
artist_000071	Artist 71	Jazz	0.6254896550546808
artist_000072	Artist 72	Electronic	0.08995424982718724
artist_000073	Artist 73	Pop	0.005419754795439292
artist_000074	Artist 74	Pop	0.7581971426675994
artist_000075	Artist 75	R&B	0.7395821660776735
artist_000076	Artist 76	Pop	0.9861089916762921
artist_000077	Artist 77	Electronic	0.6137316201011853
artist_000078	Artist 78	Jazz	0.0004505296730192311
artist_000079	Artist 79	R&B	0.22476212585286937
artist_000080	Artist 80	R&B	0.04619008864740069
artist_000081	Artist 81	Electronic	0.36726952650195543
artist_000082	Artist 82	Electronic	0.4137976125882276
artist_000083	Artist 83	Jazz	0.049422427519946556
artist_000084	Artist 84	Jazz	0.6189245236361799
artist_000085	Artist 85	Jazz	0.3269348451044454
artist_000086	Artist 86	Classical	0.7124390425887355
artist_000087	Artist 87	R&B	9.042137491161421e-05
artist_000088	Artist 88	Pop	0.41710933521800164
